name,number,status
PEP Purpose and Guidelines,1,Active
Doing Python Releases 101,101,Active
Python Database API Specification v2.0,249,Final
Docstring Conventions,257,Active
API for Block Encryption Algorithms v1.0,272,Final
Python Database API Specification v1.0,248,Final
Code Migration and Modernization,290,Active
reStructuredText Docstring Format,287,Active
API for Cryptographic Hash Functions,247,Final
The Zen of Python,20,Active
Python Language Governance,13,Active
Python Packaging Authority (PyPA) Governance,609,Active
Backwards Compatibility Policy,387,Active
PEP Infrastructure Process,676,Active
Using GitHub Issues for CPython,581,Accepted
Sample reStructuredText PEP Template,12,Active
Organization of the Python community,8015,Rejected
The Commons Governance Model,8014,Rejected
The External Council Governance Model,8013,Rejected
The Community Governance Model,8012,Rejected
Python Governance Model Lead by Trio of Pythonistas,8011,Rejected
Cofunctions,3152,Rejected
The Technical Leader Governance Model,8010,Rejected
Merging Unladen Swallow into CPython,3146,Withdrawn
Asynchronous IO support,3153,Superseded
Asynchronous I/O For subprocess.Popen,3145,Withdrawn
Add a “while” clause to generator expressions,3142,Rejected
"str(container) should call str(item), not repr(item)",3140,Rejected
Labeled break and continue,3136,Rejected
Introducing Roles,3133,Rejected
Access to Current Module/Class/Function,3130,Rejected
Cleaning out sys and the “interpreter” module,3139,Rejected
BList: A Faster List-like Type,3128,Rejected
Remove Implicit String Concatenation,3126,Rejected
Remove Backslash Continuation,3125,Rejected
Delineation of the main module,3122,Rejected
Postfix type declarations,3117,Rejected
A Switch/Case Statement,3103,Rejected
Procedure for reviewing and improving standard library modules,3001,Withdrawn
IEEE 754 Floating Point Special Values,754,Rejected
Lazy Imports,690,Rejected
Reject Foolish Indentation,666,Rejected
Callable Type Syntax,677,Rejected
A file format to list Python dependencies for reproducibility of an application,665,Rejected
"Standardizing Enum str(), repr(), and format() behaviors",663,Rejected
Editable installs via virtual wheels,662,Rejected
Robust Stack Overflow Handling,651,Rejected
Specifying Installer Requirements for Python Projects,650,Withdrawn
Extensible customizations of the interpreter at startup,648,Rejected
Allow writing optional types as ,645,Withdrawn
Explicit Pattern Syntax for Structural Pattern Matching,642,Rejected
Unused variable syntax,640,Rejected
Using an underscore in the version portion of Python 3.10 compatibility tags,641,Rejected
Support for indexing with keyword arguments,637,Rejected
Dependency specification in pyproject.toml based on PEP 508,631,Superseded
Dependency specification in pyproject.toml using an exploded TOML table,633,Rejected
Structural Pattern Matching,622,Superseded
Hide implementation details from the C API,620,Withdrawn
The one million limit,611,Withdrawn
Coordinated Python release,608,Rejected
Python Compatibility Version,606,Rejected
A rolling feature release stream for CPython,605,Rejected
Forbid return/break/continue breaking out of finally,601,Rejected
The manylinux2014 Platform Tag,599,Superseded
Introducing incremental feature releases,598,Withdrawn
Improving bugs.python.org,595,Withdrawn
Augmented Assignment Expressions,577,Withdrawn
A Concurrency Memory Model for Python,583,Withdrawn
The C call protocol,580,Rejected
Rationalize Built-in function classes,576,Withdrawn
The manylinux2010 Platform Tag,571,Superseded
Unifying function/method classes,575,Withdrawn
Built-in noop(),559,Rejected
Execution Context,550,Withdrawn
Security transparency in the Python runtime,551,Withdrawn
Context-local variables (contextvars),555,Withdrawn
Instance Descriptors,549,Rejected
More Flexible Loop Control,548,Rejected
Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,546,Rejected
A Unified TLS API for Python,543,Withdrawn
Dot Notation Assignment In Function Header,542,Rejected
Allow BlockingIOError in security sensitive APIs,522,Rejected
Managing global context via ‘with’ blocks in generators and coroutines,521,Withdrawn
Build system abstraction for pip/conda etc,516,Rejected
Existence checking operators,531,Withdrawn
A Platform Tag for Portable Linux Built Distributions,513,Superseded
API for code transformers,511,Rejected
Specialize functions with guards,510,Rejected
Migrate CPython to Git and GitLab,507,Rejected
Using the System RNG by default,504,Withdrawn
String Interpolation - Extended Discussion,502,Rejected
A protocol for delegating datetime methods to their tzinfo implementations,500,Rejected
A standard mechanism for backward compatibility,497,Rejected
Environment Markers,496,Rejected
Chain exceptions at C level,490,Rejected
"Migrate CPython to Git, Github, and Phabricator",481,Withdrawn
Creating forge.python.org,474,Withdrawn
Adding structured data to built-in exceptions,473,Rejected
Support for indexing with keyword arguments,472,Rejected
Migration of dict iteration code to Python 3,469,Withdrawn
Exception-catching expressions,463,Rejected
Core development workflow automation for CPython,462,Withdrawn
Add binary interpolation and formatting,460,Withdrawn
Standard Metadata Extensions for Python Software Packages,459,Withdrawn
Inclusion of implicit pip bootstrap in Python installation,439,Rejected
"A DSL for specifying signatures, annotations and argument converters",437,Rejected
Adding a key-transforming dictionary to collections,455,Rejected
Easier suppression of file descriptor inheritance,433,Superseded
Time zone support improvements,431,Superseded
Restructuring the CPython startup sequence,432,Withdrawn
Simpler customisation of class creation,422,Withdrawn
Metadata for Python Software Packages 2.0,426,Withdrawn
Add a frozendict builtin type,416,Rejected
Provisional packages in the Python standard library,411,Superseded
Faster evolution of the Python Standard Library,413,Withdrawn
Use decimal.Decimal type for timestamps,410,Rejected
Standard library __preview__ package,408,Rejected
Improved Encapsulation of Import State,406,Withdrawn
Simplified Package Layout and Partitioning,402,Rejected
BDFL Retirement,401,April Fool!
Module Version Numbers,396,Rejected
Static metadata for Distutils,390,Rejected
Changing the version comparison module in Distutils,386,Superseded
Qualified Names for Modules,395,Withdrawn
Namespace Packages,382,Rejected
Mirroring infrastructure for PyPI,381,Withdrawn
Adding an Assignment Expression,379,Withdrawn
Allow __enter__() methods to skip the statement body,377,Rejected
Post import hooks,369,Withdrawn
New Super,367,Superseded
Adding the pkg_resources module,365,Rejected
Transitioning to the Py3K Standard Library,364,Withdrawn
Syntax For Dynamic Attribute Access,363,Rejected
The “make” Statement,359,Withdrawn
Path - Object oriented filesystem paths,355,Rejected
Enumerations in Python,354,Superseded
The freeze protocol,351,Rejected
Allow str() to return unicode strings,349,Rejected
Exception Reorganization for Python 3.0,348,Rejected
Codetags,350,Rejected
Metadata for Python Software Packages 1.2,345,Superseded
User Defined (”,346,Withdrawn
Exception Chaining and Embedded Tracebacks,344,Superseded
Anonymous Block Statements,340,Rejected
Design of the CPython Compiler,339,Withdrawn
Overloadable Boolean Operators,335,Rejected
Make None Callable,336,Rejected
Simple Coroutines via SuspendIteration,334,Withdrawn
Byte vectors and String/Unicode Unification,332,Rejected
Python Bytecode Verification,330,Rejected
Treating Builtins as Constants in the Standard Library,329,Rejected
Resource-Release Support for Generators,325,Rejected
Python Synchronize/Asynchronize Block,319,Rejected
A Case for Top and Bottom Values,326,Rejected
Date/Time Parsing and Formatting,321,Withdrawn
Metadata for Python Software Packages 1.1,314,Superseded
Enhanced While Loop,315,Rejected
Eliminate Implicit Exception Instantiation,317,Rejected
Adding Roman Numeral Literals to Python,313,Rejected
Reliable Acquisition/Release Pairs,310,Rejected
How to Change Python’s Grammar,306,Withdrawn
Controlling Generation of Bytecode Files,304,Withdrawn
Extend divmod() for Multiple Divisors,303,Rejected
Special __main__() function in modules,299,Rejected
The Locked Buffer Interface,298,Withdrawn
Adding a bytes Object Type,296,Withdrawn
Support for System Upgrades,297,Rejected
Type Names in the types Module,294,Rejected
Interpretation of multiline string constants,295,Rejected
Generators Attributes and Exceptions,288,Withdrawn
Integer for-loops,284,Rejected
Loop Counter Iteration with range and xrange,281,Rejected
Simple Iterator for ints,276,Rejected
Switching on Multiple Values,275,Rejected
Prefixing sys.path by command line option,271,Rejected
uniq method for list objects,270,Rejected
Extended HTTP functionality and WebDAV,268,Rejected
